seed_account_key,login_email,display_name,account_type,role_code,hospital_id,staff_id,patient_id,preferred_language,provisioning_status,password_storage,is_synthetic
AUTH-SUPER-001,superadmin@resilicare.test,ResiliCare Demo Super Administrator,SUPER_ADMIN,SUPER_ADMIN,,,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-001-ADMIN,admin.hsp001@resilicare.test,Sara Khan,HOSPITAL_ADMIN,HOSPITAL_ADMIN,HSP-001,HSP-001-R02,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-001-DOCTOR,doctor.hsp001@resilicare.test,Aarav Mehta,STAFF,DOCTOR,HSP-001,HSP-001-D01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-001-SUPPORT,support.hsp001@resilicare.test,Ananya Iyer,STAFF,NURSE,HSP-001,HSP-001-N01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-001-PATIENT,patient.hsp001@resilicare.test,Aanya Chauhan,PATIENT,PATIENT,HSP-001,,HSP-001-P001,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-002-ADMIN,admin.hsp002@resilicare.test,Zoya Ali,HOSPITAL_ADMIN,HOSPITAL_ADMIN,HSP-002,HSP-002-R02,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-002-DOCTOR,doctor.hsp002@resilicare.test,Aditya Menon,STAFF,DOCTOR,HSP-002,HSP-002-D01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-002-SUPPORT,support.hsp002@resilicare.test,Rahul Sethi,STAFF,RECEPTIONIST,HSP-002,HSP-002-R01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-002-PATIENT,patient.hsp002@resilicare.test,Saanvi Chauhan,PATIENT,PATIENT,HSP-002,,HSP-002-P001,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-003-ADMIN,admin.hsp003@resilicare.test,Juhi Saxena,HOSPITAL_ADMIN,HOSPITAL_ADMIN,HSP-003,HSP-003-R02,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-003-DOCTOR,doctor.hsp003@resilicare.test,Akash Gupta,STAFF,DOCTOR,HSP-003,HSP-003-D01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-003-SUPPORT,support.hsp003@resilicare.test,Farah Siddiqui,STAFF,NURSE,HSP-003,HSP-003-N01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-003-PATIENT,patient.hsp003@resilicare.test,Nisha Chauhan,PATIENT,PATIENT,HSP-003,,HSP-003-P001,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-004-ADMIN,admin.hsp004@resilicare.test,Tanvi Ghosh,HOSPITAL_ADMIN,HOSPITAL_ADMIN,HSP-004,HSP-004-R02,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-004-DOCTOR,doctor.hsp004@resilicare.test,Karan Chawla,STAFF,DOCTOR,HSP-004,HSP-004-D01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-004-SUPPORT,support.hsp004@resilicare.test,Sameer Walia,STAFF,RECEPTIONIST,HSP-004,HSP-004-R01,,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
AUTH-HSP-004-PATIENT,patient.hsp004@resilicare.test,Kiran Chauhan,PATIENT,PATIENT,HSP-004,,HSP-004-P001,en-IN,TO_PROVISION,NOT_STORED_USE_ENVIRONMENT_SECRET,true
